Data,Model,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
Cluster 0,DTR,5,0.004612311,0.067781249,0.045400281,0.029891685,0.728729352,0.728150628
Cluster 0,DTR,6,0.004752241,0.06879064,0.045591056,0.029549005,0.720423359,0.719821526
Cluster 0,DTR,7,0.004994021,0.070490814,0.046273047,0.029576369,0.706158629,0.705573612
Cluster 1,DTR,2,0.003667111,0.060482061,0.039004779,0.02309666,0.726393183,0.726074072
Cluster 1,DTR,3,0.00298756,0.054594571,0.033374287,0.019210558,0.776859042,0.776623683
Cluster 1,DTR,4,0.002496487,0.049909953,0.030158766,0.016938699,0.813467422,0.813264706
Cluster 1,DTR,5,0.002239129,0.047266705,0.028817365,0.01653183,0.832601012,0.832423765
Cluster 1,DTR,6,0.002132813,0.046133484,0.028151302,0.016072224,0.840434812,0.840254957
Cluster 1,DTR,7,0.002145392,0.046255994,0.027976909,0.015945847,0.839467632,0.839308679
Cluster 2,DTR,2,0.002070262,0.04530313,0.027983421,0.016650519,0.703997764,0.703599383
Cluster 2,DTR,3,0.001675195,0.040779462,0.023897982,0.014005905,0.759942637,0.759552958
Cluster 2,DTR,4,0.001579178,0.039603424,0.022538218,0.012550051,0.773264868,0.772896556
Cluster 2,DTR,5,0.001596952,0.039757327,0.022155125,0.012247879,0.771134876,0.770783152
Cluster 2,DTR,6,0.001643639,0.040315462,0.022006411,0.012039942,0.764130706,0.763806366
Cluster 2,DTR,7,0.001818305,0.042389904,0.022568014,0.011960835,0.739343961,0.738973532
Cluster 3,DTR,2,0.010294572,0.10085099,0.072021458,0.048964724,0.598657945,0.594251417
Cluster 3,DTR,3,0.009742726,0.098022458,0.066970376,0.043564505,0.619974506,0.616281518
Cluster 3,DTR,4,0.009800729,0.098259272,0.064800078,0.041592708,0.616481943,0.613040655
Cluster 3,DTR,5,0.010281542,0.100602167,0.065179077,0.039794599,0.596543247,0.592941487
Cluster 3,DTR,6,0.010702515,0.102392861,0.065975866,0.040544246,0.580636693,0.576809592
Cluster 3,DTR,7,0.011429337,0.105969969,0.068768342,0.042646473,0.549418703,0.545300634
Cluster 4,DTR,2,0.004740072,0.068763419,0.047754611,0.034067163,0.717069912,0.71669798
Cluster 4,DTR,3,0.003848292,0.061953259,0.041272372,0.026499793,0.770244781,0.769911166
Cluster 4,DTR,4,0.003483114,0.058950991,0.038556191,0.024208258,0.791858096,0.791566583
Cluster 4,DTR,5,0.00337666,0.058044809,0.037871033,0.023882763,0.798133265,0.797843156
Cluster 4,DTR,6,0.003428235,0.058485524,0.037903991,0.023473776,0.794903621,0.794590732
Cluster 4,DTR,7,0.003563538,0.059623314,0.038215805,0.023509146,0.786847182,0.786521537
Cluster 5,DTR,2,0.007815131,0.08824588,0.061579753,0.036563991,0.730075613,0.728826382
Cluster 5,DTR,3,0.006469163,0.080288901,0.05351888,0.033582355,0.776215378,0.775237711
Cluster 5,DTR,4,0.005761678,0.075775808,0.049569697,0.030113296,0.800643944,0.799863644
Cluster 5,DTR,5,0.005650627,0.075036781,0.048721905,0.029302894,0.804439922,0.803740726
Cluster 5,DTR,6,0.005893157,0.076605092,0.049165958,0.029281743,0.796085739,0.795376109
Cluster 5,DTR,7,0.006252016,0.078895305,0.050012511,0.029404142,0.783500776,0.782743882
Ariyalur,DTR,2,0.005988209,0.076755355,0.052688592,0.03755315,0.778717551,0.776252604
Ariyalur,DTR,3,0.004690332,0.067762636,0.043929991,0.027508945,0.82700502,0.825125308
Ariyalur,DTR,4,0.00413609,0.063737123,0.040852775,0.02458268,0.846317086,0.844736668
Ariyalur,DTR,5,0.00393061,0.062146621,0.039460795,0.02367387,0.853962987,0.85265942
Ariyalur,DTR,6,0.003974128,0.062507232,0.03888622,0.023079224,0.852033894,0.850673018
Ariyalur,DTR,7,0.004168873,0.063991133,0.039578595,0.022870982,0.843956126,0.842536669
Chennai,DTR,2,0.005686893,0.07472203,0.048405245,0.025206789,0.756896819,0.755194739
Chennai,DTR,3,0.004258907,0.064627981,0.039328522,0.019798725,0.81697821,0.815583583
Chennai,DTR,4,0.004023148,0.062818882,0.037095582,0.01833092,0.827800044,0.826397472
Chennai,DTR,5,0.003883737,0.06161121,0.035961078,0.018065781,0.834175584,0.832976947
Chennai,DTR,6,0.004186639,0.063854127,0.036756535,0.018447419,0.821064239,0.819933085
Chennai,DTR,7,0.00437777,0.065332509,0.037363079,0.018410472,0.813190281,0.811996003
Coimbatore,DTR,2,0.006077931,0.077592965,0.053851959,0.031282213,0.765617183,0.763611852
Coimbatore,DTR,3,0.004720667,0.068311923,0.044479372,0.027111016,0.817755784,0.816037862
Coimbatore,DTR,4,0.004442041,0.066122932,0.041567725,0.023754183,0.828864221,0.827157556
Coimbatore,DTR,5,0.00455466,0.066913471,0.041756667,0.023976227,0.823955365,0.822278548
Coimbatore,DTR,6,0.004814016,0.068720621,0.042108935,0.023007349,0.813926461,0.811967327
Coimbatore,DTR,7,0.005209634,0.071517504,0.043857201,0.023731656,0.798455382,0.796391079
Cuddalore,DTR,2,0.005720798,0.075266335,0.052301331,0.035753913,0.820474971,0.819314277
Cuddalore,DTR,3,0.003873491,0.061820914,0.040848734,0.024988929,0.877829283,0.876888903
Cuddalore,DTR,4,0.003015672,0.054526339,0.035145051,0.021459187,0.904711412,0.903961915
Cuddalore,DTR,5,0.002976818,0.054152244,0.033052888,0.018271144,0.906351613,0.905436582
Cuddalore,DTR,6,0.003039212,0.054598199,0.032219321,0.017601029,0.904726413,0.903681098
Cuddalore,DTR,7,0.003312583,0.057030935,0.033219914,0.017173208,0.895842692,0.894753357
Dharmapuri,DTR,2,0.007103067,0.083870299,0.059717411,0.036508502,0.734682824,0.732141902
Dharmapuri,DTR,3,0.006000139,0.077097666,0.052642556,0.034936331,0.774914115,0.772838717
Dharmapuri,DTR,4,0.006069664,0.077553947,0.051136029,0.031824866,0.772633704,0.770360156
Dharmapuri,DTR,5,0.006121691,0.077805966,0.050936669,0.030968623,0.7704942,0.76833684
Dharmapuri,DTR,6,0.006369505,0.079340707,0.051250009,0.029935789,0.761327102,0.759112916
Dharmapuri,DTR,7,0.006800512,0.081988571,0.052710264,0.029814877,0.74516594,0.742880712
Dindigul,DTR,2,0.008237198,0.090243987,0.063813892,0.043644964,0.637341512,0.633377216
Dindigul,DTR,3,0.007144644,0.083999113,0.057834025,0.040177274,0.684838971,0.681394419
Dindigul,DTR,4,0.007551639,0.086357702,0.058609269,0.039886711,0.667173161,0.663527932
Dindigul,DTR,5,0.007949461,0.088546692,0.059598302,0.040394775,0.648393825,0.644508903
Dindigul,DTR,6,0.008475605,0.091365548,0.060834917,0.040147671,0.62465252,0.620433231
Dindigul,DTR,7,0.009219386,0.095208564,0.062667468,0.040455415,0.592715036,0.588107104
Erode,DTR,2,0.006160293,0.078029809,0.056462494,0.036082816,0.766941552,0.764887287
Erode,DTR,3,0.005297118,0.072408943,0.049446062,0.033347744,0.799045633,0.797170025
Erode,DTR,4,0.005332914,0.072650008,0.048047345,0.030664055,0.797483927,0.795458055
Erode,DTR,5,0.00542793,0.073111121,0.047518019,0.02989061,0.794313246,0.792157477
Erode,DTR,6,0.00591846,0.076166186,0.048483235,0.029576351,0.775565707,0.773355589
Erode,DTR,7,0.006419024,0.079338418,0.050358267,0.030590175,0.756077465,0.753937583
Kancheepuram,DTR,2,0.006406239,0.079449172,0.053054527,0.031637657,0.766441449,0.764074246
Kancheepuram,DTR,3,0.005163461,0.071280505,0.04349064,0.02458842,0.81029655,0.808580725
Kancheepuram,DTR,4,0.004415144,0.065912714,0.039007913,0.021352864,0.836311071,0.834824555
Kancheepuram,DTR,5,0.004247507,0.064362239,0.037253265,0.019739129,0.841724778,0.840377695
Kancheepuram,DTR,6,0.004545578,0.066474337,0.038172372,0.01930514,0.830213307,0.828709568
Kancheepuram,DTR,7,0.004908442,0.0692071,0.039643275,0.019789216,0.816506815,0.814912152
Karur,DTR,2,0.014441701,0.119794986,0.087374743,0.058004022,0.620849804,0.617690822
Karur,DTR,3,0.013411981,0.115426398,0.082110727,0.05569434,0.647714573,0.645000441
Karur,DTR,4,0.012782832,0.112658874,0.078634646,0.052354478,0.664093099,0.661445973
Karur,DTR,5,0.013107299,0.114059874,0.078934041,0.052035371,0.655004687,0.652100092
Karur,DTR,6,0.013945444,0.11761162,0.080966704,0.053058412,0.632724059,0.629504628
Karur,DTR,7,0.015124326,0.122440922,0.083792269,0.054201318,0.601649172,0.598111555
Madurai,DTR,2,0.008312288,0.090258546,0.062154025,0.040231441,0.574249168,0.570392695
Madurai,DTR,3,0.008055016,0.08859395,0.057885594,0.038071497,0.587750429,0.584206466
Madurai,DTR,4,0.008483522,0.090995449,0.057836075,0.037337285,0.565055566,0.561107359
Madurai,DTR,5,0.009173456,0.094502619,0.058652251,0.036429316,0.529111181,0.524926694
Madurai,DTR,6,0.009766458,0.097392432,0.060020419,0.03669981,0.499711863,0.495162408
Madurai,DTR,7,0.010691286,0.102027413,0.062549242,0.038334666,0.451569605,0.446676156
Nagapattinam,DTR,2,0.005965112,0.076785644,0.053644245,0.038666644,0.755502923,0.753424956
Nagapattinam,DTR,3,0.004816131,0.068940747,0.04516733,0.026738486,0.802555117,0.800891941
Nagapattinam,DTR,4,0.004267032,0.064834252,0.041773592,0.026029881,0.824650965,0.823211165
Nagapattinam,DTR,5,0.004190826,0.064250033,0.039939546,0.023823854,0.826638794,0.825128136
Nagapattinam,DTR,6,0.004529783,0.066679972,0.040912131,0.024073291,0.813047342,0.811286003
Nagapattinam,DTR,7,0.004821878,0.068792244,0.042196169,0.02456907,0.801154941,0.799243943
Namakkal,DTR,2,0.011330975,0.106165159,0.078794142,0.053801086,0.691154716,0.688466622
Namakkal,DTR,3,0.008598764,0.092417244,0.06717589,0.04899357,0.765042243,0.763117641
Namakkal,DTR,4,0.008471024,0.091761424,0.06563867,0.047457339,0.768334618,0.766601314
Namakkal,DTR,5,0.008886845,0.09397422,0.066129778,0.046462477,0.756992183,0.755134498
Namakkal,DTR,6,0.009540425,0.097345271,0.067711706,0.047393001,0.738493961,0.736505332
Namakkal,DTR,7,0.010431114,0.101701918,0.070234897,0.049103772,0.713870504,0.711365726
Perambalur,DTR,2,0.007023509,0.083294347,0.060681402,0.043582648,0.702906675,0.699231533
Perambalur,DTR,3,0.005405851,0.073078572,0.050831138,0.034236817,0.77023009,0.767699923
Perambalur,DTR,4,0.005247407,0.071986742,0.048168814,0.032099528,0.776126281,0.773464342
Perambalur,DTR,5,0.005314818,0.072397338,0.047834147,0.031570256,0.773505416,0.770927513
Perambalur,DTR,6,0.005804683,0.075699915,0.049380969,0.031919121,0.752298656,0.749451089
Perambalur,DTR,7,0.006322822,0.07902732,0.051184778,0.032454001,0.730322763,0.727171322
Pudukkottai,DTR,2,0.005901119,0.076314687,0.054580859,0.03865919,0.75836449,0.755617136
Pudukkottai,DTR,3,0.005108637,0.070921688,0.047838897,0.029652506,0.791701283,0.789177033
Pudukkottai,DTR,4,0.005015877,0.070217705,0.046196319,0.02797814,0.794909097,0.792548559
Pudukkottai,DTR,5,0.005330688,0.072356249,0.046645958,0.027881479,0.78000488,0.777653902
Pudukkottai,DTR,6,0.005785935,0.075338015,0.048291055,0.028647021,0.761696551,0.759000481
Pudukkottai,DTR,7,0.006416378,0.079366773,0.050470462,0.029361641,0.736075678,0.732953096
Ramanathapuram,DTR,2,0.007580252,0.086627917,0.060459096,0.038052907,0.705608562,0.702991264
Ramanathapuram,DTR,3,0.006676789,0.081258835,0.054723295,0.035256888,0.740793201,0.737934998
Ramanathapuram,DTR,4,0.006487288,0.080069194,0.052171592,0.031177741,0.748465773,0.745681366
Ramanathapuram,DTR,5,0.006597627,0.080624942,0.051193193,0.03113255,0.743718005,0.741238019
Ramanathapuram,DTR,6,0.006968241,0.082903094,0.052412487,0.031568079,0.729752827,0.727094333
Ramanathapuram,DTR,7,0.007486819,0.085976562,0.054322786,0.032641944,0.708560675,0.705705232
Salem,DTR,2,0.01071954,0.103109879,0.075308714,0.048607309,0.699058977,0.69672097
Salem,DTR,3,0.008357567,0.091030571,0.063533538,0.044634725,0.764407685,0.762717869
Salem,DTR,4,0.008428376,0.091342476,0.061539425,0.041499362,0.762341472,0.760914928
Salem,DTR,5,0.008649987,0.092487126,0.061488651,0.040616058,0.755621066,0.753991276
Salem,DTR,6,0.00925068,0.095508636,0.062697448,0.040741525,0.739184828,0.737415525
Salem,DTR,7,0.010144519,0.099989985,0.065243829,0.041376021,0.713629356,0.711844283
